id,title,inventor,grant_date,result_link
US-8990407-B2,Fast setup response prediction ,Kent Karlsson,3/24/15,https://patents.google.com/patent/US8990407B2/en
US-2014298200-A1,Providing user interface elements for interactive sessions ,Michal Cierniak,,https://patents.google.com/patent/US20140298200A1/en
US-2020280591-A1,System and Method for Efficient Port and Bandwidth Utilization in Setting up Communication Sessions ,"Reinhard Klemm, Parameshwaran Krishnan, Navjot Singh",,https://patents.google.com/patent/US20200280591A1/en
US-11032398-B1,Kernel multiplexing system of communications ,"Tom Herbert, Blake Ross Matheny",6/8/21,https://patents.google.com/patent/US11032398B1/en
US-10530856-B2,Sharing data between a plurality of source devices that are each connected to a sink device ,"Lochan VERMA, Vijayalakshmi Raveendran, Sampath Kumar SUDI, Mu-Huan Chiang, Mina MAKAR, Na Yu",1/7/20,https://patents.google.com/patent/US10530856B2/en
US-2019014062-A1,Presence-Based Communications in a Controlled Environment ,Stephen Lee Hodge,,https://patents.google.com/patent/US20190014062A1/en
CN-106331107-A,Information transmission method and device based on NB-IOT (Narrow Band-Internet of Things) ,"郑勇, 宋丛林, 刘承凌, 雷发禹",,https://patents.google.com/patent/CN106331107A/en
US-10999337-B1,User device interactions during a session of a co-browsing environment ,David Gerard Ledet,5/4/21,https://patents.google.com/patent/US10999337B1/en
CN-105915521-B,"Multi-party call management method, device and terminal ","高毅, 王洪强, 龙海",5/19/20,https://patents.google.com/patent/CN105915521B/en
EP-2483796-B1,Providing a manual ring-down communication line using sip ,"Timothy Potts, Leonidas P. Papadopoulos, Rajnish Jain",10/11/17,https://patents.google.com/patent/EP2483796B1/en
CN-108521404-B,Mobile phone security privacy number protection platform based on IMS networking ,"陈杨, 刘作, 王建明",1/4/22,https://patents.google.com/patent/CN108521404B/en
WO-2004008729-A2,Combined user agent for pstn and data communications ,Dany Sylvain,,https://patents.google.com/patent/WO2004008729A2/en
ES-2324078-B1,"SYSTEM AND METHOD OF INTELLIGENT ADMINISTRATION, RECOMMENDATION AND DISCOVERY OF MULTIMEDIA CONTENTS FOR MOBILE REPRODUCTION DEVICES. ","David Del Ser Bartolome, Guillermo Caudevilla Laliena",5/13/10,https://patents.google.com/patent/ES2324078B1/en
EP-3170324-B1,Policy control in session initiation protocol forking ,"Ignacio RIVAS MOLINA, Venkata Ramesh Balabhadruni, Patrik DANNEBRO, Rikard Eriksson, Susana Fernandez Alonso, Fredrik Lindholm",5/22/19,https://patents.google.com/patent/EP3170324B1/en
CN-109005190-B,Method for realizing full duplex voice conversation and page control on webpage ,"王磊, 张忠远",10/30/20,https://patents.google.com/patent/CN109005190B/en
EP-2332308-B1,A method and arrangement for controlling sessions in a communication network ,"Mattias LIDSTRÖM, Ignacio MÁS IVARS",8/8/12,https://patents.google.com/patent/EP2332308B1/en
CN-101123645-B,A method and system for multiple-in-one phone co-ring service ,"杨勇, 韩银俊, 甘洪波",10/26/11,https://patents.google.com/patent/CN101123645B/en
EP-2597819-B1,Method for controlling a field device ,"Stephan Damith, Ulrich Syber, Robert Wotsch, Christian Schneid, Bernd Briechle",12/19/18,https://patents.google.com/patent/EP2597819B1/en
US-2017323341-A1,Location-based service using zones ,Boaz HYMAN,,https://patents.google.com/patent/US20170323341A1/en
US-10582059-B1,Queueing Multi-channel communications for a contact center ,Michael L. Howard,3/3/20,https://patents.google.com/patent/US10582059B1/en
US-10979481-B2,System and method for dynamically expanding conferencing capabilities and facilitating on demand transactions within social network environments ,Surya Jayaweera,4/13/21,https://patents.google.com/patent/US10979481B2/en
CN-108040061-B,Cloud conference live broadcasting method ,"王昶, 梁胜蓝, 霍元穗",4/27/21,https://patents.google.com/patent/CN108040061B/en
US-2017373962-A1,"Cloud-Based Wireless Testing via Custom Test APN, P-GW, ePDG and IMS ","Michael C. Keeley, Kurt E. Bantle, Saul J. Einbinder",,https://patents.google.com/patent/US20170373962A1/en
US-11184225-B2,Pattern based network configuration ,"Milly Chen, Dan Lu, Chun Feng Wu, Nan Zhang, Xiao Yang Zhu",11/23/21,https://patents.google.com/patent/US11184225B2/en
US-10897438-B2,Direct communication between a secure application and a local application running on the same device ,"Guillaume Egles, Brian Din, Georges Vieux, Richard Cochran",1/19/21,https://patents.google.com/patent/US10897438B2/en
US-10841756-B1,Managing communications sessions based on restrictions and permissions ,"Shambhavi Sathyanarayana Rao, Patrick Fiori, Ford Davidson, Rohit Lohani, Shawn Michael Banks, Merle Michael Robinson, Ninad Parkhi",11/17/20,https://patents.google.com/patent/US10841756B1/en
US-11218556-B2,"Method, apparatus, user device and server for displaying personal homepage ",Xiaozhen Fu,1/4/22,https://patents.google.com/patent/US11218556B2/en
US-2014082196-A1,Method of Managing Connectivity Between Resources in a Computer Network and System Thereof ,"Reuven Harrison, Michael Hamelin",,https://patents.google.com/patent/US20140082196A1/en
CN-110290140-B,"Multimedia data processing method and device, storage medium and electronic equipment ","杨勇, 张云飞, 樊华恒",9/24/21,https://patents.google.com/patent/CN110290140B/en
US-10785446-B2,Administrator device and user interface for inmate initiated video visitation system ,Gary James Humphries,9/22/20,https://patents.google.com/patent/US10785446B2/en
CN-109981762-A,Intelligent management and mobile management terminal based on building ,"王林祥, 王银波, 赵皎平, 刘林会",,https://patents.google.com/patent/CN109981762A/en
US-10623350-B2,Subscription/notification of a conference in a collaboration conferencing system ,"Adam C. Uzelac, Gregory T. Ellison, Andrew J. Broadworth",4/14/20,https://patents.google.com/patent/US10623350B2/en
US-9497228-B2,Class 4 long distance softswitch network with integrated class 5 application services ,"Richard Dean Terpstra, Gregory Anthony Gualtieri",11/15/16,https://patents.google.com/patent/US9497228B2/en
US-10897596-B2,Secure video visitation system ,"Stephen L. Hodge, Anthony Bambocci",1/19/21,https://patents.google.com/patent/US10897596B2/en
US-10785515-B2,"Communication control device, communication control method, and communication system ","Yoshinobu Kure, Vijitha RANATUNGA, Yoshihiro Kosaka",9/22/20,https://patents.google.com/patent/US10785515B2/en
US-10892977-B2,Route detection method in a BGP monitoring protocol session ,"Haijun Xu, Shunwan ZHUANG, Haibo Wang",1/12/21,https://patents.google.com/patent/US10892977B2/en
US-10764432-B1,"System, method, and computer readable medium for establishing communication between devices ",Kevin V. Nguyen,9/1/20,https://patents.google.com/patent/US10764432B1/en
US-10887354-B2,Media optimization of browser-based real-time communications applications in a virtual desktop environment ,"Sonia Prabhu, Vertika Singh, Anurag Katiyar, Sumeet Vohra",1/5/21,https://patents.google.com/patent/US10887354B2/en
CN-110012362-A,"A kind of live streaming method of speech processing, device, equipment and storage medium ","康谋, 刘贝林",,https://patents.google.com/patent/CN110012362A/en
CN-101227648-B,Method for implementing IP multimedia subsystem urgent call business ,"郝振武, 游世林, 李振东, 邹常乐",1/11/12,https://patents.google.com/patent/CN101227648B/en
US-10958693-B2,Methods and apparatuses for associating user identification information to chatbot capable frameworks ,Maria JERNSTRÖM,3/23/21,https://patents.google.com/patent/US10958693B2/en
US-2018359284-A1,System and method for signaling by a dual-sim dual-standby device ,"Ravi Kanth Kotreka, Harinath Reddy PATEL, Ashutosh GUPTA",,https://patents.google.com/patent/US20180359284A1/en
US-2011083014-A1,Method and apparatus for generating temporary gruu in ims system ,Deoksoo LIM,,https://patents.google.com/patent/US20110083014A1/en
US-9246954-B2,Location tagging method for packet based signalling ,Petri Kalevi Koskelainen,1/26/16,https://patents.google.com/patent/US9246954B2/en
EP-2186310-B1,Call transfer with multiple application servers in session initiation protocol-based network ,"Isaac Jian Liu, Ivy Qingfang Meng, Alexander Aihao Yin, Chun Yu Yu",7/20/11,https://patents.google.com/patent/EP2186310B1/en
CA-2831926-C,Controlling a data stream ,"Giuseppe Capuozzo, Orlando Onorato, Donatella Enei, Eli Komlan Dzah",3/24/20,https://patents.google.com/patent/CA2831926C/en
US-11159586-B2,Dynamically controlling relay communication links during a communication session ,Simon Perreault,10/26/21,https://patents.google.com/patent/US11159586B2/en
WO-2007086812-A1,Methods for transmitting and receiving data and communication devices ,"Bu Sung Lee, Teck Meng Lim, Chai Kiat Yeo, Quang Vinh Le",,https://patents.google.com/patent/WO2007086812A1/en
US-10616282-B2,Network voice communication method and system implemented based on web communication plug-in ,"Edward Zheng, Raymond Kwan",4/7/20,https://patents.google.com/patent/US10616282B2/en
EP-3659393-B1,Mobility improvement for a mobile device in ecall-only mode ,"Lenaig Genevieve CHAPONNIERE, Stephen William Edge, Haris Zisimopoulos",5/18/22,https://patents.google.com/patent/EP3659393B1/en
US-11252116-B2,"Information processing methods, non-transitory computer readable media, and servers for initiating communication over instant message system based on voice call ",Hideyuki Kakiuchi,2/15/22,https://patents.google.com/patent/US11252116B2/en
US-9401939-B2,"Communication management system, communication method, and recording medium storing communication control program ","Hiroyuki Kanda, Takahiro Asai",7/26/16,https://patents.google.com/patent/US9401939B2/en
EP-2636200-B1,Synchronized bandwidth reservations for real-time communications ,"James M. Polk, Subhasri Dhesikan",5/9/18,https://patents.google.com/patent/EP2636200B1/en
WO-2007013966-A2,A system and method for securely storing and accessing credentials and certificates for secure voip endpoints ,Heinrich Sinnreich,,https://patents.google.com/patent/WO2007013966A2/en
CN-106161179-B,Media processing method and device based on real-time communication of webpage ,李从兵,12/20/19,https://patents.google.com/patent/CN106161179B/en
US-2015149643-A1,Dynamic policy based data session migration mechanism in a communication network ,"Qingmin Hu, Donald Carl Hjort, Sherry L. McCaughan",,https://patents.google.com/patent/US20150149643A1/en
RU-2424633-C2,"Method, device and system for making multimedia call ","Сычэнь ВАН (CN), Сычэнь ВАН, Хой ХУАН (CN), Хой ХУАН, Пэн ВАН (CN), Пэн Ван",7/20/11,https://patents.google.com/patent/RU2424633C2/en
US-10977693-B2,Association of content identifier of audio-visual data with additional data through capture infrastructure ,"Ashwin Navin, David Harrison, Joshua Smallman",4/13/21,https://patents.google.com/patent/US10977693B2/en
EP-2999179-B1,"Session control system, communiction terminal, communication system, session control method, and medium ","Hiroshi Hinohara, Takahiro Asai",5/16/18,https://patents.google.com/patent/EP2999179B1/en
EP-2272237-B1,Method of transmitting data in a communication system ,Andrei Jefremov,1/4/12,https://patents.google.com/patent/EP2272237B1/en
US-8942671-B2,"Methods, systems, and apparatus for handling secure-voice-communication sessions ","Thomas W. Haynes, Steven R. Rados",1/27/15,https://patents.google.com/patent/US8942671B2/en
US-9736083-B2,Techniques for packet-switched video telephony setup with QOS preconditions ,"Min Wang, Arungundram Chandrasekaran Mahendran, Tien-Hsin Lee, Vikram Singh, Srinivasan Balasubramanian",8/15/17,https://patents.google.com/patent/US9736083B2/en
US-10691767-B2,System and method for coded pattern communication ,Christopher A. Peri,6/23/20,https://patents.google.com/patent/US10691767B2/en
EP-3698539-B1,Personalized audio/video invitations for phone calls ,Stanislav Borukhoff,6/2/21,https://patents.google.com/patent/EP3698539B1/en
US-9456400-B2,Best effort call routing preference setting ,"Ralf Keller, Fredrik Lindholm",9/27/16,https://patents.google.com/patent/US9456400B2/en
US-10412049-B2,Traffic rerouting and filtering in packet core networks ,"Huiyue Xu, Levens Li, Edward Yau, Taiguo Zhang, Zhengchao Zhang, Feng Yang",9/10/19,https://patents.google.com/patent/US10412049B2/en
CN-108881792-A,A kind of method and apparatus of double fluid communication ,"乔金龙, 沈军, 王艳辉, 杨春晖",,https://patents.google.com/patent/CN108881792A/en
US-9258334-B2,Universe media shuffling ,David Ahrens,2/9/16,https://patents.google.com/patent/US9258334B2/en
CN-103843298-B,Media key manages and utilizes P2P messaging system and the method for this media key ,田重培,7/20/16,https://patents.google.com/patent/CN103843298B/en
EP-3216292-B1,Proactive broadcast capacity adjustment for fast network joins ,"Jonathan W. HUI, Jean-Philippe Vasseur, Wei Hong",9/18/19,https://patents.google.com/patent/EP3216292B1/en
US-10607320-B2,Filtering of real-time visual data transmitted to a remote recipient ,"James E. Carey, Jim C. Chen, Rafal P. Konik, Ryan L. Rossiter",3/31/20,https://patents.google.com/patent/US10607320B2/en
US-9385882-B2,Method and apparatus for phone communication using home network ,"Je-young Maeng, Ho-yeon Park, Se-Hee Han",7/5/16,https://patents.google.com/patent/US9385882B2/en
US-9578079-B2,"Distribution control system, distribution system, distribution control method, and computer-readable storage medium ",Kiyoshi Kasatani,2/21/17,https://patents.google.com/patent/US9578079B2/en
US-10827394-B2,Triggering selective fallback based on user subscription information ,Subrata Mukherjee,11/3/20,https://patents.google.com/patent/US10827394B2/en
US-10848617-B1,Intelligent call handling and routing ,Zhishen Liu,11/24/20,https://patents.google.com/patent/US10848617B1/en
US-11196784-B2,"Method, apparatus and system for creating discussion group based on instant messaging ","Yingtang Chen, Dajian Xuan",12/7/21,https://patents.google.com/patent/US11196784B2/en
US-10542137-B1,Scam call back protection ,"Muhammad Ejaz Sial, Shujaur Mufti",1/21/20,https://patents.google.com/patent/US10542137B1/en
US-10673912-B2,Join feature restoration to online meeting ,"Stephen H. Houchen, Anthony C Romano, William Hanlon, Barnett Trzcinski",6/2/20,https://patents.google.com/patent/US10673912B2/en
GB-2454979-A,Conditional setting-up of a telecommunication conference session using a second conference session server ,Frank Kowalewski,,https://patents.google.com/patent/GB2454979A/en
US-11323318-B2,Network slicing in IMS ,George Foti,5/3/22,https://patents.google.com/patent/US11323318B2/en
US-11218519-B2,Service based P-CSCF discovery ,George Foti,1/4/22,https://patents.google.com/patent/US11218519B2/en
US-10924926-B1,Communications token pre-fetch ,"Vinaya Nadig, Tu Dien Do",2/16/21,https://patents.google.com/patent/US10924926B1/en
CN-111586337-B,"Audio and video conference system, control method, equipment and storage medium ","朱滨, 李帅, 祁越",1/25/22,https://patents.google.com/patent/CN111586337B/en
CN-105391974-B,A kind of method and system of the equity supply for data ,"威廉·陈, 莱顿·卡尔",8/13/19,https://patents.google.com/patent/CN105391974B/en
CN-110062191-B,Multi-party group meeting method and server based on video network ,"乔金龙, 幺学佳, 萧辉, 李学军",3/2/21,https://patents.google.com/patent/CN110062191B/en
US-11122532-B2,Method for transceiving signal in association with multi-homing based PSA addition in wireless communication system and apparatus therefor ,Laeyoung Kim,9/14/21,https://patents.google.com/patent/US11122532B2/en
JP-5085781-B2,Method and system for characterizing heterogeneous communication nodes ,"モハメッド・ブカデール, ヨーン・ノワゼット",11/28/12,https://patents.google.com/patent/JP5085781B2/en
US-11252781-B2,UE and communication method thereof ,"Tsuyoshi Takakura, Masafumi Aramoto",2/15/22,https://patents.google.com/patent/US11252781B2/en
US-9521532-B2,Communication terminal device and method for controlling ,Frank Kowalewski,12/13/16,https://patents.google.com/patent/US9521532B2/en
US-10764349-B2,Self-organizing network communication ,"Mostafa Tofighbakhsh, David R. Wolter",9/1/20,https://patents.google.com/patent/US10764349B2/en
CN-102223295-B,Distinguish for transshipping the IMS signaling message priority based on the stage of chokes ,"诺亚·利维, 佩萨克·斯佩克特, 以太·E·兹尔伯夏特恩",11/25/15,https://patents.google.com/patent/CN102223295B/en
US-9807127-B2,Method and apparatus for distributed compositional control of end-to-end media in IP networks ,"Eric Cheung, Pamela Zave",10/31/17,https://patents.google.com/patent/US9807127B2/en
US-2008159275-A1,Ipt x11 mediation layer and process ,"Yolius Diroo, Edward Walter",,https://patents.google.com/patent/US20080159275A1/en
US-2014011492-A1,Operator preferences for packet switched services on lte ,Murali Bhaskara Rao Bharadwaj,,https://patents.google.com/patent/US20140011492A1/en
US-2019141093-A1,"Methods, apparatus and/or system for using email to schedule and/or launch group communications sessions ","Costin Tuculescu, Eli Burpee",,https://patents.google.com/patent/US20190141093A1/en
JP-6480011-B2,Method and mobile radio communication network component for establishing communication ,"リカルド グエルゾーニ，, リカルド グエルゾーニ，, ヤリ ムティカイネン，, ヤリ ムティカイネン，, 敬 輿水, 敬 輿水, イルファン アリ，, イルファン アリ，",3/6/19,https://patents.google.com/patent/JP6480011B2/en
US-9369432-B2,System and method for secure network communications ,"Zhijian QIN, Srinivas Nukala, Weimin Zhou",6/14/16,https://patents.google.com/patent/US9369432B2/en
US-11336734-B1,System and method for aggregating communication connections ,"Jan Boris Koum, Bryan Dennis O'Connor, Brian Lange Acton",5/17/22,https://patents.google.com/patent/US11336734B1/en
US-2020382942-A1,Device and method for supporting plurality of sims in wireless communication system ,Woojun Choi,,https://patents.google.com/patent/US20200382942A1/en
US-2019238594-A1,Operating a network node ,"Salem Amin Al-Damluji, George Malcolm GILBERT",,https://patents.google.com/patent/US20190238594A1/en
CN-111385592-A,"Cross-room live broadcast connection method and device, storage medium and server ","赵世博, 陆文元, 陈健鸿",,https://patents.google.com/patent/CN111385592A/en
EP-3258392-A1,Systems and methods for building contextual highlights for conferencing systems ,"Harish Nair Rajagopal, Abul Koyes CHOUDHURY, Sreeprakash THONIKKANDY",,https://patents.google.com/patent/EP3258392A1/en
US-10027724-B2,Methods and apparatus for implementing a conference call ,"Michael Lindström, Andreas Anulf",7/17/18,https://patents.google.com/patent/US10027724B2/en
US-11115537-B1,Template-based management of telecommunications services ,Zhishen Liu,9/7/21,https://patents.google.com/patent/US11115537B1/en
US-2020153959-A1,Method and System for Implementing Telephone Solicitation Prevention ,Joseph A. SCIVICQUE,,https://patents.google.com/patent/US20200153959A1/en
CN-106656529-B,"Create the method, apparatus and computer equipment of group ",许飞龙,10/18/19,https://patents.google.com/patent/CN106656529B/en
US-2019297122-A1,Relevancy improvement through targeting of information based on data gathered from a networked device associated with a security sandbox of a client device ,David Harrison,,https://patents.google.com/patent/US20190297122A1/en
CN-103327286-B,"Transfer management system, transmission system and transmission management method ","前田薰, 浅井贵浩, 梅原直树",8/3/16,https://patents.google.com/patent/CN103327286B/en
US-8675640-B2,"Method, apparatus, and system for connecting to called terminal ","Haiyang Liu, Xiaojin Li, Biao Zhang",3/18/14,https://patents.google.com/patent/US8675640B2/en
CN-107888544-B,A kind of method and system depending on establishing communication between networked terminals and communication apparatus ,"王艳辉, 沈军",3/12/19,https://patents.google.com/patent/CN107888544B/en
US-8743871-B2,"Media identification, classification, forwarding, and management for voice and video communications ","Prakash Jayaraman, Raj Bhatia",6/3/14,https://patents.google.com/patent/US8743871B2/en
US-2020162390-A1,Methods Circuits Devices Systems and Associated Machine Executable Instructions for Transporting Packetized Data Across a Cellular Communications Network ,"Daniel Nathan FRYDMAN, Lior Fite",,https://patents.google.com/patent/US20200162390A1/en
JP-6758139-B2,Systems and methods for efficient call processing ,"ジョンナム カク, ジョンナム カク, ヒョングク チェ, ヒョングク チェ",9/23/20,https://patents.google.com/patent/JP6758139B2/en
CN-110505491-B,"Live broadcast processing method and device, electronic equipment and storage medium ","谢纨楠, 范威",11/6/20,https://patents.google.com/patent/CN110505491B/en
EP-2587748-B1,Launching of a session on a communication server ,"Zaher El Chami, Guillaume Despax",7/8/15,https://patents.google.com/patent/EP2587748B1/en
EP-2645668-B1,System and method to influence SIP routing by sequenced applications ,"Timothy Ian Ross, Harsh V. Mendiratta, Rajeshwari Edamadaka",12/12/18,https://patents.google.com/patent/EP2645668B1/en
CN-105610843-A,Remote camera image real-time sharing method and system ,"秦崇文, 林灿凯, 农革, 吴裔",,https://patents.google.com/patent/CN105610843A/en
EP-2983347-B1,A method for routing communication calls via voip and via pstn to communication devices and computer program products thereof ,"Jorge Serna Pozuelo, John Eugene Neystadt, José Luis Urién Pinedo, Daniel VELASCO BENITO",12/27/17,https://patents.google.com/patent/EP2983347B1/en
US-10356571-B2,Method and device for sharing enriched information associated with a call ,"Basavaraj Jayawant Pattan, Suresh Chitturi, Ashok Kumar SELVARAJ, Nishant Gupta",7/16/19,https://patents.google.com/patent/US10356571B2/en
US-2019342245-A1,"Systems and Methods for Providing Online Chat-Messages With Configurable, Interactive Imagery ",Casey Golden,,https://patents.google.com/patent/US20190342245A1/en
CN-105376701-A,Multi-screen interaction method and system ,裴兆欣,,https://patents.google.com/patent/CN105376701A/en
CN-105357407-B,The communication paging method and system of trading service platform ,谭保兴,11/2/18,https://patents.google.com/patent/CN105357407B/en
US-2020037281-A1,Electronic device for supporting multiple subscriber identity modules and method therefor ,"Wooyong Lee, Yeungseob SHIN, Yongwoo Lee",,https://patents.google.com/patent/US20200037281A1/en
EP-3815424-A1,User plane function (upf) programming over enhanced n9 interface ,"Aeneas Sean DODD-NOBLE, Irfan Ali, Pablo Camarillo GARVIA, Om Prakash SUTHAR, Ravi Kiran GUNTUPALLI, Arun C. Alex",,https://patents.google.com/patent/EP3815424A1/en
EP-3818664-A1,User-centric connections to a location comprising digital collaboration tools ,"Michaël Toon Andre Arthur VANDERHEEREN, Gauthier RENARD, Laurens Cyrille VANDENBROUCKE, Johan Peter Frans DEGRAEF",,https://patents.google.com/patent/EP3818664A1/en
EP-2972942-B1,Hybrid cloud architecture with optimized local delivery ,"Brian Bischoff, Gregg KERLIN, Henry R. LUM, Donald HUOVINEN, Tamal Islam, Terry STOCKING, David H. Anderson, Galina Kovalenko, Bernard BRETHERTON, Vyacheslav Sayko",10/16/19,https://patents.google.com/patent/EP2972942B1/en
CN-105681271-B,The method and apparatus of integrity checking data is provided ,"文瀚吉, 金贤郁, 李男淑, 姜在垠, 孙有美",3/29/19,https://patents.google.com/patent/CN105681271B/en
EP-3026844-B1,"Apparatus, system, and method of selecting relay device in conferencing system, and carrier medium ","Naoki Umehara, Takahiro Asai, Hiroshi Hinohara",9/12/18,https://patents.google.com/patent/EP3026844B1/en
US-2020379617-A1,User interfaces for electronic voice communications ,"Jae Woo Chang, Alan C. Dye, Jonathan P. Ive, Stephen O. Lemay, Matthew J. Sundstrom, Molly Pray WIEBE",,https://patents.google.com/patent/US20200379617A1/en
US-11140106-B2,"Method, device and storage medium for interactive message in video page ",Rong Xiao,10/5/21,https://patents.google.com/patent/US11140106B2/en
CN-109361770-A,The system and method for bidirectional real-time is realized based on WebSocket and message queue ,"肖昆, 吴相武",,https://patents.google.com/patent/CN109361770A/en
US-11153110-B2,Communication method and terminal in live webcast channel and storage medium thereof ,Nanbo LI,10/19/21,https://patents.google.com/patent/US11153110B2/en
US-2016294786-A1,Telecommunication System and Method Providing Unified Platform For Services Amongst Clients That Execute Browser and Non-Browser Applications ,"Victor Eliezer Marquez Mendoza, David Rafael Luna Gonzalez, Gabriel Gonzalez Morantes, Victor Eduardo Medina Malpica",,https://patents.google.com/patent/US20160294786A1/en
US-9467406-B2,Devices for instant message client swap ,"Geoffrey Dietz, Thomas B Hart",10/11/16,https://patents.google.com/patent/US9467406B2/en
US-10950219-B2,Systems and methods for providing a virtual assistant ,"Jeffrey Rule, Kaylyn Gibilterra, Abdelkader Benkreira, Michael Mossoba",3/16/21,https://patents.google.com/patent/US10950219B2/en
CN-105610777-B,Remote living broadcast method and system ,"张龙华, 林强生, 向建中, 薄景仁, 李彬",6/11/19,https://patents.google.com/patent/CN105610777B/en
US-2020053188-A1,Rapid optimization of media stream bitrate ,"Emil Ivov, Boris Grozev, Georgios Politis",,https://patents.google.com/patent/US20200053188A1/en
US-2020128099-A1,"Web communication based content servicing and delivery system, method, and computer program ","Carl Ford, Claude Hayn, Alan B. Johnston",,https://patents.google.com/patent/US20200128099A1/en
US-2020084247-A1,Bot profile discovery ,Adrian T. Synal,,https://patents.google.com/patent/US20200084247A1/en
EP-3668014-B1,End-to-end session-related call detail record ,"Thierry Boussac, Nicolas Cornet, Antoine Vallee",3/30/22,https://patents.google.com/patent/EP3668014B1/en
US-2016063054-A1,Method and system for crowd sourced contact database management ,Scott Thompson,,https://patents.google.com/patent/US20160063054A1/en
EP-3022891-B1,Telephone network system and method ,"Ivan ZHIDOV, Peter A. Rinfret, Sunir Kochhar",8/15/18,https://patents.google.com/patent/EP3022891B1/en
US-2021313077-A1,"Augmenting Clinical Intelligence with Federated Learning, Imaging Analytics and Outcomes Decision Support ",James Paul Smurro,,https://patents.google.com/patent/US20210313077A1/en
WO-2015034275-A1,Method and device for performing audio/video streaming in wireless communication system ,"이재호, 이민수, 박장웅, 김소영, 이현재, 양승률, 김진필",,https://patents.google.com/patent/WO2015034275A1/en
CN-1874382-A,"Method, system and circuit for starting substitution of traffic connection ",马林·亚科夫,,https://patents.google.com/patent/CN1874382A/en
EP-2871841-B1,Intelligent mini projector multi-source control method and device ,Qingzhao MENG,12/19/18,https://patents.google.com/patent/EP2871841B1/en
US-2020195458-A1,Multiplexing message distribution within group-based communication system ,"Mark Christian, Cyrus Katrak",,https://patents.google.com/patent/US20200195458A1/en
EP-3497888-B1,"Device, method and products for managing a communication interface of a communication device ","Tianhu Zhang, Yuri Poeluev",8/11/21,https://patents.google.com/patent/EP3497888B1/en
US-2013147903-A1,Systems and methods for including video traffic from external sources into a video conferencing ,"Reginald Weiser, Richard McGravie",,https://patents.google.com/patent/US20130147903A1/en
US-2021314523-A1,Proactive In-Call Content Recommendations for Assistant Systems ,"Sravani Kamisetty, Xiaolei Li, Yuan Chang, Ting Chen Leo Hsu",,https://patents.google.com/patent/US20210314523A1/en
WO-2021128752-A1,"Calling method, device and system, server and storage medium ",高毅,,https://patents.google.com/patent/WO2021128752A1/en
US-2020398063-A1,Data labeling system and method operative with patient and clinician controller devices disposed in a remote care architecture ,"Scott DeBates, Douglas Alfred Lautner, Tucker Tomlinson, James Nagle",,https://patents.google.com/patent/US20200398063A1/en
WO-2016089653-A1,Session awareness for communication sessions ,"Gunter Leeb, Timothy M. Moore, Danny Levin",,https://patents.google.com/patent/WO2016089653A1/en
US-2020344280-A1,Relaying media content via a relay server system without decryption ,"Jagan Govindarajan, Gopikumar Ranganathan, Jayachandrakumar Konduru",,https://patents.google.com/patent/US20200344280A1/en
US-2014281988-A1,Gesture-Based Wireless Media Streaming System ,"Robert Watts, Michael Minakami, Bhavya Bambhania",,https://patents.google.com/patent/US20140281988A1/en
US-2015381664-A1,System and Method for Connectivity Contextual Services Local Online Experience ,"John Bruno, Sibish Neelikattil Basheerahammed",,https://patents.google.com/patent/US20150381664A1/en
US-9306991-B2,Enhanced push to talk systems and methods with floor control and media traffic optimization ,"Anatoly Agulnik, Madhusudan K. Pai, Udaya Shankara P. S., Shrinivas Shetti",4/5/16,https://patents.google.com/patent/US9306991B2/en
CN-103327374-B,A kind of monitoring method and network television-set top-set-box ,"管天云, 沈蓓洁, 张继栋, 程希",8/21/18,https://patents.google.com/patent/CN103327374B/en
US-2019387368-A1,Communication device providing half-duplex and pseudo full-duplex operation using push-to-talk switch ,"Daniel Grobe Sachs, Charles B. Harmke",,https://patents.google.com/patent/US20190387368A1/en
WO-2010148792-A1,System and method for implementing policy interworking and convergence ,"毕以峰, 曲爱妍",,https://patents.google.com/patent/WO2010148792A1/en
US-2020094148-A1,System-level multiplayer matchmaking ,"Steven Trombetta, Toshimasa Aoki, Jonathan Webb",,https://patents.google.com/patent/US20200094148A1/en
EP-3349394-B1,"System, method, and application for exchanging content in a social network environment ","Alexander SAVENOK, Pavel Savenok, Gregory H. Leekley",11/10/21,https://patents.google.com/patent/EP3349394B1/en
US-2019158545-A1,Media Session ,"Timothy Mark Moore, Tin Qian, Rajesh Gunnalan",,https://patents.google.com/patent/US20190158545A1/en
CN-105721470-B,Method for realizing visual access of call center ,"李健诚, 李燕, 陈文生",10/20/20,https://patents.google.com/patent/CN105721470B/en
CN-105025034-A,Car-moving reminding method ,"崔光辉, 车俊杰",,https://patents.google.com/patent/CN105025034A/en
US-10638299-B2,Dynamic scrolling-ticker for initiating telecommunications services ,"Matthew Wayne Stafford, Mark Steven Wuthnow, William Coan",4/28/20,https://patents.google.com/patent/US10638299B2/en
US-2021294561-A1,System to facilitate interaction during a collaborative screen sharing session ,"Reza Farivar, Austin Walters, Fardin Abdi Taghi Abad, Jeremy Goodsitt, Vincent Pham",,https://patents.google.com/patent/US20210294561A1/en
EP-4020198-A1,Neutral host edge services ,"Francesc Guim Bernat, Timothy Verrall, Kannan Babu Ramia, Deepak S, Palaniappan Ramanathan",,https://patents.google.com/patent/EP4020198A1/en
